iter	Passed	Remaining
0	26	5215
1	44	4445
2	65	4312
3	84	4152
4	105	4117
5	126	4078
6	149	4113
7	167	4014
8	187	3973
9	209	3979
10	230	3953
11	250	3927
12	270	3884
13	290	3861
14	311	3836
15	330	3804
16	350	3774
17	370	3750
18	391	3733
19	413	3723
20	435	3715
21	457	3697
22	477	3671
23	496	3638
24	515	3605
25	533	3571
26	554	3550
27	573	3522
28	592	3492
29	611	3465
30	630	3434
31	650	3416
32	669	3389
33	688	3360
34	707	3333
35	727	3313
36	746	3287
37	765	3263
38	784	3237
39	802	3211
40	821	3187
41	840	3162
42	859	3139
43	879	3119
44	899	3096
45	918	3074
46	938	3055
47	961	3045
48	983	3031
49	1004	3012
50	1049	3065
51	1097	3123
52	1115	3095
53	1137	3074
54	1158	3054
55	1180	3035
56	1200	3010
57	1222	2993
58	1243	2970
59	1263	2948
60	1284	2927
61	1306	2908
62	1325	2883
63	1345	2859
64	1366	2837
65	1389	2820
66	1409	2798
67	1430	2776
68	1451	2756
69	1471	2733
70	1492	2712
71	1514	2691
72	1535	2671
73	1557	2651
74	1579	2631
75	1601	2612
76	1623	2593
77	1643	2570
78	1664	2549
79	1686	2529
80	1707	2509
81	1729	2488
82	1748	2465
83	1769	2444
84	1792	2425
85	1817	2408
86	1844	2396
87	1865	2374
88	1886	2353
89	1907	2330
90	1928	2310
91	1961	2302
92	1987	2286
93	2007	2263
94	2027	2240
95	2049	2220
96	2072	2201
97	2094	2179
98	2113	2156
99	2133	2133
100	2152	2109
101	2173	2088
102	2192	2064
103	2213	2043
104	2233	2020
105	2252	1997
106	2273	1976
107	2293	1953
108	2314	1932
109	2333	1909
110	2352	1885
111	2370	1862
112	2389	1839
113	2408	1816
114	2431	1796
115	2450	1774
116	2469	1752
117	2491	1731
118	2512	1709
119	2532	1688
120	2554	1667
121	2574	1645
122	2593	1623
123	2611	1600
124	2633	1579
125	2651	1557
126	2670	1534
127	2689	1512
128	2708	1490
129	2728	1468
130	2749	1448
131	2768	1426
132	2786	1403
133	2805	1381
134	2824	1359
135	2843	1338
136	2862	1316
137	2881	1294
138	2900	1272
139	2919	1251
140	2938	1229
141	2957	1207
142	2976	1186
143	2997	1165
144	3020	1145
145	3040	1124
146	3059	1103
147	3079	1082
148	3098	1060
149	3116	1038
150	3135	1017
151	3154	996
152	3173	974
153	3192	953
154	3210	932
155	3229	910
156	3248	889
157	3266	868
158	3285	847
159	3303	825
160	3324	805
161	3343	784
162	3362	763
163	3380	742
164	3400	721
165	3422	700
166	3444	680
167	3465	660
168	3489	640
169	3510	619
170	3529	598
171	3547	577
172	3568	556
173	3590	536
174	3613	516
175	3634	495
176	3656	475
177	3677	454
178	3698	433
179	3721	413
180	3740	392
181	3760	371
182	3779	351
183	3799	330
184	3819	309
185	3839	289
186	3861	268
187	3881	247
188	3900	227
189	3919	206
190	3938	185
191	3959	164
192	3979	144
193	4000	123
194	4021	103
195	4040	82
196	4059	61
197	4078	41
198	4098	20
199	4116	0
